# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
yong di 	擁地	c=1 d=5.98499e-50 t=63164
yong fa 	用法	c=4 d=1 t=62371
yong gong 	用功	c=2 d=1.49589e-32 t=63164
yong gu ge 	用谷歌	c=1 d=5.65219e-24 t=63164
yong guang 	用光	c=1 d=0.597501 t=63164
yong guo 	用過	c=2 d=2.51399e-22 t=63164
yong hu 	用戶	c=248 d=2.80011 t=63164
yong hu de 	用戶的	c=1 d=2.60354e-22 t=63164
yong hu min 	用戶民	c=2 d=2.16831e-17 t=63164
yong hu ming 	用戶名	c=27 d=0.142404 t=63164
yong hu pai ming 	用戶排名	c=1 d=4.40957e-15 t=63164
yong hu shu 	用戶數	c=1 d=1 t=61021
yong hu zhi jian 	用戶之間	c=1 d=8.72054e-08 t=63164
yong jin 	佣金	c=2 d=1.5187e-55 t=63164
yong jiu 	永久	c=1 d=1 t=62232
yong lai 	用來	c=13 d=0.00177961 t=63164
yong le 	用了	c=1 d=7.31133e-52 t=63164
yong ma 	用嗎	c=1 d=3.57311e-11 t=63164
yong mao 	泳帽	c=1 d=7.73286e-35 t=63164
yong ming 	永明	c=2 d=1.29178e-12 t=63164
yong pin 	用品	c=3 d=5.0347e-34 t=63164
yong qing 	用情	c=0 d=3.25316e-26 t=63164
yong qing zhi shen 	用情至深	c=1 d=3.26947e-25 t=63164
yong ren 	用人	c=1 d=7.17533e-37 t=63164
yong shang 	用上	c=4 d=1.80086e-09 t=63164
yong shen me 	用什麼	c=2 d=1.61382e-13 t=63164
yong tu 	用途	c=1 d=1 t=56186
yong xin 	永新	c=0 d=2.18221e-05 t=63164
yong xin 	用心	c=2 d=4.82976e-27 t=63164
yong xin hui 	永新匯	c=1 d=0.000219315 t=63164
yong yi 	用以	c=1 d=2.18786e-05 t=63164
yong yi ge 	用一個	c=3 d=3.43242e-09 t=63164
yong yi yong 	用一用	c=1 d=1.8005e-36 t=63164
yong you 	擁有	c=2 d=2.71634e-21 t=63164
yong yu 	用於	c=45 d=0.00550751 t=63164
yong yu 	用語	c=1 d=6.91065e-36 t=63164
yong yuan 	永遠	c=7 d=0.00163682 t=63164
yong zhe 	用着	c=1 d=1.83656e-34 t=63164
yong zhuang 	泳裝	c=1 d=6.42681e-35 t=63164
you 	又	c=59 d=0.130374 t=63164
you 	右	c=0 d=9.19294e-12 t=63164
you 	有	c=386 d=2.44912 t=63164
you 	猶	c=4 d=4.41822e-05 t=63164
you 	由	c=19 d=0.183599 t=63164
you 	遊	c=8 d=2.0652e-05 t=63164
you ban 	有伴	c=1 d=1.77062e-45 t=63164
you ben shi 	有本事	c=1 d=6.71919e-29 t=63164
you ben shu 	有本書	c=1 d=1.36338e-29 t=63164
you bi 	幽閉	c=1 d=1.04202e-43 t=63164
you bi yao 	有必要	c=3 d=0.951229 t=63164
you bian 	右邊	c=1 d=1 t=60168
you bu shi 	又不是	c=2 d=1.37994e-24 t=63164
you cai 	有才	c=1 d=4.21195e-05 t=63164
you ceng 	有層	c=1 d=7.1988e-46 t=63164
you chang 	有償	c=1 d=3.47519e-37 t=63164
you che 	有車	c=1 d=1.17691e-34 t=63164
you che rong 	優車融	c=6 d=4.13417e-21 t=63164
you cheng jiu 	有成就	c=0 d=1.86203e-50 t=63164
you cheng jiu gan 	有成就感	c=1 d=1.87137e-49 t=63164
you cheng yi 	有誠意	c=1 d=2.74076e-38 t=63164
you ci 	有次	c=1 d=2.39009e-45 t=63164
you ci 	由此	c=4 d=2.3465e-05 t=63164
you ci da suan 	由此打算	c=1 d=2.05822e-51 t=63164
you dai 	有待	c=1 d=0.00135358 t=63164
you dao 	有道	c=2 d=7.66007e-12 t=63164
you dao ci dian 	有道詞典	c=1 d=6.8989e-16 t=63164
you dao li 	有道理	c=3 d=0.900325 t=63164
you de ren 	有的人	c=3 d=9.30021e-29 t=63164
you dian 	優點	c=1 d=0.0320647 t=63164
you dian 	有點	c=45 d=0.941765 t=63164
you dian chou 	有點丑	c=1 d=1.97247e-21 t=63164
you dian dian 	有點點	c=2 d=1.64252e-41 t=63164
you dian nan 	有點難	c=1 d=6.695e-16 t=63164
you dian yuan 	有電源	c=1 d=8.64819e-57 t=63164
you dian yuan 	有點遠	c=2 d=1.77496e-15 t=63164
you du 	有毒	c=1 d=1 t=56722
you dui qi 	右對齊	c=1 d=3.16357e-20 t=63164
you dui qi 	有對其	c=1 d=2.61614e-20 t=63164
you fa 	有法	c=1 d=2.69398e-12 t=63164
you gai 	有蓋	c=1 d=1.04362e-61 t=63164
you ge 	有個	c=33 d=0.348403 t=63164
you gu shi 	有故事	c=1 d=9.37706e-09 t=63164
you guan 	有關	c=7 d=3.92168e-05 t=63164
you guo 	有過	c=1 d=4.66285e-25 t=63164
you hai 	有害	c=0 d=0.1 t=55084
you hai ying xiang 	有害影響	c=1 d=1 t=55085
you hua 	優化	c=9 d=4.50213e-06 t=63164
you hua le 	優化了	c=1 d=1 t=55845
you huo 	誘惑	c=1 d=3.848e-30 t=63164
you ji 	右擊	c=1 d=4.02237e-22 t=63164
you ji 	有機	c=0 d=1.74818e-43 t=63164
you ji ge 	有幾個	c=1 d=3.26714e-46 t=63164
you ji hui 	有機會	c=8 d=2.09266e-11 t=63164
you ji wu 	有機物	c=1 d=0.0236356 t=63164
you jia 	有家	c=1 d=3.90138e-45 t=63164
you jian 	郵件	c=8 d=3.06319e-23 t=63164
you jiang 	又將	c=2 d=1.54809e-53 t=63164
you jie you huan 	有借有還	c=1 d=1.30628e-55 t=63164
you ju hua 	有句話	c=1 d=6.31371e-32 t=63164
you ke neng 	有可能	c=1 d=4.41647e-05 t=63164
you ke shu 	有棵樹	c=3 d=1.53512e-13 t=63164
you kong 	有空	c=10 d=0.895834 t=63164
you kuo hao 	右括號	c=1 d=1 t=58543
you lai 	又來	c=1 d=1 t=61368
you le 	有了	c=1 d=1.12359e-18 t=63164
you li 	有利	c=1 d=1 t=55057
you li 	有力	c=0 d=2.06354e-53 t=63164
you li ke tu 	有利可圖	c=2 d=6.92295e-19 t=63164
you li qi 	有力氣	c=1 d=3.05684e-28 t=63164
you li xi 	有利息	c=1 d=3.07802e-21 t=63164
you luan yong 	有卵用	c=1 d=3.14341e-33 t=63164
you lun 	油輪	c=4 d=4.02595e-39 t=63164
you lun 	郵輪	c=1 d=1.07339e-39 t=63164
you mei you 	有沒有	c=19 d=0.357007 t=63164
you mei you bi yao 	有沒有必要	c=1 d=0.00400585 t=63164
you mei zi 	有妹子	c=1 d=5.10648e-06 t=63164
you mo de 	有莫得	c=8 d=4.84585e-07 t=63164
you mo fa 	有莫法	c=1 d=1.86045e-39 t=63164
you mo sha 	有莫啥	c=1 d=6.50488e-30 t=63164
you na me 	有那麼	c=1 d=0.0166557 t=63164
you qi 	尤其	c=8 d=0.0145715 t=63164
you qian 	有錢	c=20 d=1.29097 t=63164
you qian le 	有錢了	c=1 d=2.68703e-11 t=63164
you qian ren 	有錢人	c=3 d=7.83238e-09 t=63164
you qu 	有趣	c=3 d=2.72127e-14 t=63164
you quan 	有權	c=5 d=1.02088 t=63164
you quan li 	有權利	c=1 d=1.08998e-43 t=63164
you ran zi de 	悠然自得	c=1 d=1 t=56401
you ren 	友人	c=1 d=1 t=55232
you ren 	有人	c=19 d=0.647265 t=63164
you ren 	誘人	c=1 d=1.12493e-32 t=63164
you sha 	有啥	c=5 d=6.44378e-07 t=63164
you sha zi 	有啥子	c=1 d=2.76839e-09 t=63164
you shen me 	有什麼	c=5 d=0.000303765 t=63164
you sheng yi 	有生意	c=1 d=1.01979e-54 t=63164
you shi 	優勢	c=5 d=1.40323e-16 t=63164
you shi 	又是	c=4 d=0.0127784 t=63164
you shi 	有事	c=1 d=7.66398e-18 t=63164
you shi hou 	有時候	c=11 d=2.00058e-11 t=63164
you shi you 	有時有	c=1 d=2.82278e-32 t=63164
you shi zuo 	又是做	c=1 d=7.62576e-18 t=63164
you shu 	有數	c=1 d=1.1818e-24 t=63164
you shu 	有書	c=1 d=0.0520787 t=63164
you sun 	有損	c=1 d=8.01512e-45 t=63164
you suo 	有所	c=4 d=4.32334e-08 t=63164
you tai 	有台	c=1 d=7.1124e-51 t=63164
you tai 	猶太	c=1 d=1.91314e-44 t=63164
you tai ren 	猶太人	c=6 d=4.92505e-58 t=63164
you wen ti 	有問題	c=2 d=4.08108e-16 t=63164
you wu 	有無	c=1 d=2.61339e-37 t=63164
you xi 	有戲	c=2 d=8.08904e-06 t=63164
you xi 	遊戲	c=6 d=7.79596e-13 t=63164
you xia jiao 	右下角	c=1 d=3.88403e-22 t=63164
you xian 	優先	c=14 d=1.91842e-48 t=63164
you xian 	有限	c=5 d=6.24026e-12 t=63164
you xian gong si 	有限公司	c=0 d=5.35045e-56 t=63164
you xian gou mai quan 	優先購買權	c=3 d=6.14145e-47 t=63164
you xian ji 	優先級	c=1 d=1.99535e-39 t=63164
you xian shou chang 	優先受償	c=1 d=6.77265e-35 t=63164
you xian shou chang quan 	優先受償權	c=4 d=3.11374e-33 t=63164
you xian yu 	優先於	c=6 d=0.0584257 t=63164
you xian ze ren 	有限責任	c=1 d=4.54835e-56 t=63164
you xiang 	又想	c=1 d=7.25385e-18 t=63164
you xiang 	郵箱	c=10 d=0.00219846 t=63164
you xiao 	有效	c=6 d=0.128093 t=63164
you xie 	有些	c=6 d=7.17879e-10 t=63164
you xie ju zi 	有些句子	c=1 d=1.99813e-26 t=63164
you xie shi qing 	有些事情	c=1 d=2.54713e-29 t=63164
you xin 	有心	c=1 d=6.8161e-21 t=63164
you xiu 	優秀	c=7 d=0.0308145 t=63164
you xu yao 	有需要	c=1 d=1.90333e-13 t=63164
you ya 	優雅	c=1 d=9.42857e-44 t=63164
you yao 	又要	c=3 d=3.874e-21 t=63164
you yi 	友誼	c=1 d=3.9216e-47 t=63164
you yi 	有益	c=1 d=9.8659e-48 t=63164
you yi bi 	有一筆	c=1 d=1.74366e-41 t=63164
you yi ge 	有一個	c=1 d=1 t=58033
you yi si 	有意思	c=3 d=3.26165e-26 t=63164
you yi tian 	有一天	c=1 d=0.00763509 t=63164
you yi zhong 	有一種	c=2 d=1.2232e-45 t=63164
you yo hai neng gou 	有喲還能夠	c=1 d=1.67358e-29 t=63164
you yong 	有用	c=16 d=0.0387742 t=63164
you yong 	游泳	c=17 d=0.0385808 t=63164
you you 	又有	c=0 d=2.40795e-16 t=63164
you you 	尤有	c=1 d=8.93978e-06 t=63164
you you ren 	又有人	c=1 d=2.42002e-15 t=63164
you you yong 	遊游泳	c=1 d=2.22585e-31 t=63164
you yu 	憂鬱	c=2 d=3.2824e-05 t=63164
you yu 	由於	c=11 d=0.033879 t=63164
you yuan 	幼園	c=1 d=5.24199e-20 t=63164
you yuan 	幼圓	c=1 d=5.26827e-20 t=63164
you zai you zai 	悠哉悠哉	c=1 d=4.55562e-16 t=63164
you zhang you die 	有漲有跌	c=1 d=6.44674e-42 t=63164
you zhe 	有着	c=1 d=3.75938e-50 t=63164
you zhi 	優質	c=27 d=0.097004 t=63164
you zhi 	幼稚	c=1 d=2.013e-25 t=63164
you zhi nei rong 	優質內容	c=4 d=0.00307143 t=63164
you zhong 	有種	c=1 d=1 t=61190
yu 	予	c=1 d=1.22498e-05 t=63164
yu 	域	c=2 d=3.88177e-18 t=63164
yu 	於	c=21 d=0.00298493 t=63164
yu 	玉	c=1 d=1.5037e-05 t=63164
yu 	與	c=37 d=1.09615 t=63164
yu 	語	c=1 d=1.19633e-50 t=63164
yu 	雨	c=2 d=0.00294518 t=63164
yu bao 	預報	c=2 d=4.66697e-06 t=63164
yu ce 	預測	c=3 d=4.69037e-06 t=63164
yu chun 	愚蠢	c=2 d=1.03506e-23 t=63164
yu dao 	遇到	c=19 d=0.766615 t=63164
yu e 	餘額	c=2 d=4.06198e-50 t=63164
yu e bao 	餘額寶	c=6 d=7.96379e-35 t=63164
yu fa 	語法	c=12 d=1.0204 t=63164
yu fa dian 	語法點	c=1 d=5.68554e-05 t=63164
yu gong yi shan 	愚公移山	c=1 d=1.09738e-05 t=63164
yu gu 	預估	c=1 d=9.87262e-56 t=63164
yu han 	鈺菡	c=2 d=2.16458e-47 t=63164
yu hui 	迂迴	c=1 d=2.0736e-21 t=63164
yu huo fen shen 	慾火焚身	c=1 d=1.20629e-30 t=63164
yu jin 	浴巾	c=1 d=5.88486e-28 t=63164
yu jing 	預警	c=1 d=1 t=55456
yu ju 	語句	c=3 d=1 t=57928
yu kuai 	愉快	c=3 d=6.88812e-27 t=63164
yu lan 	預覽	c=4 d=1.16318e-10 t=63164
yu lan tu 	預覽圖	c=1 d=1 t=58445
yu le 	娛樂	c=1 d=3.56123e-60 t=63164
yu le jie 	娛樂界	c=1 d=3.65138e-60 t=63164
yu liao 	預料	c=3 d=8.44535e-07 t=63164
yu min 	漁民	c=2 d=1.80252 t=56399
yu ming 	域名	c=2 d=7.28772e-14 t=63164
yu qi 	與其	c=3 d=7.53552e-25 t=63164
yu qi 	語氣	c=1 d=1.87392e-65 t=63164
yu qi 	預期	c=2 d=1.55349e-24 t=63164
yu qi ci 	語氣詞	c=1 d=7.60453e-44 t=63164
yu qi shou yi 	預期收益	c=1 d=5.20842e-62 t=63164
yu qing 	瘀青	c=1 d=9.93256e-39 t=63164
yu shi 	於是	c=16 d=8.34707e-07 t=63164
yu wang 	慾望	c=1 d=0.000182274 t=63164
yu wang shi 	慾望是	c=1 d=1.41146e-25 t=63164
yu xin 	於心	c=0 d=1.30335e-59 t=63164
yu yan 	寓言	c=1 d=5.05911e-14 t=63164
yu yan 	語言	c=17 d=0.0139818 t=63164
yu yi 	語義	c=1 d=2.67234e-36 t=63164
yu yin 	語音	c=2 d=1.87915e-39 t=63164
yu zhe qian lv 	愚者千慮	c=1 d=4.48536e-39 t=63164
yu zhi 	與之	c=1 d=9.07922e-41 t=63164
yu zhong bu tong 	與衆不同	c=1 d=5.97704e-05 t=63164
yu zhou 	宇宙	c=1 d=1 t=58789
yu zhuang 	預裝	c=2 d=1.00281 t=61626
yuan 	元	c=70 d=1.33779e-12 t=63164
yuan 	原	c=2 d=4.72512e-34 t=63164
yuan 	員	c=1 d=1.10611e-10 t=63164
yuan 	園	c=1 d=0.000151489 t=63164
yuan 	圓	c=1 d=2.62247e-19 t=63164
yuan 	苑	c=1 d=2.60265e-19 t=63164
yuan 	遠	c=5 d=0.00565622 t=63164
yuan 	院	c=1 d=9.68434e-07 t=63164
yuan 	願	c=1 d=1.11166e-10 t=63164
yuan ben 	原本	c=11 d=0.0925506 t=63164
yuan bi 	遠比	c=1 d=0.802519 t=63164
yuan bian 	圓邊	c=1 d=6.2726e-14 t=63164
yuan bu zhi 	遠不止	c=1 d=7.75972e-17 t=63164
yuan cheng 	遠程	c=6 d=0.172045 t=63164
yuan cheng ku 	遠程庫	c=3 d=1.99312 t=59761
yuan chuang 	原創	c=2 d=8.02575e-23 t=63164
yuan da 	遠大	c=1 d=2.37533e-31 t=63164
yuan da qian cheng 	遠大前程	c=1 d=6.44783e-44 t=63164
yuan dai ma 	源代碼	c=7 d=1.46303e-06 t=63164
yuan ding 	原定	c=1 d=1.73403e-64 t=63164
yuan feng bu dong 	原封不動	c=1 d=1 t=60656
yuan gong 	員工	c=10 d=9.17233e-14 t=63164
yuan gong chi gu 	員工持股	c=1 d=2.46329e-47 t=63164
yuan hua 	原畫	c=1 d=1 t=57698
yuan hua 	原話	c=1 d=5.65315e-26 t=63164
yuan jian 	元件	c=1 d=1 t=55782
yuan jiao 	圓角	c=2 d=4.68327e-17 t=63164
yuan jun hao 	袁峻豪	c=4 d=7.4065e-06 t=63164
yuan lai 	原來	c=3 d=0.000183188 t=63164
yuan lai shi 	原來是	c=1 d=6.73773e-32 t=63164
yuan li 	原理	c=9 d=0.602399 t=63164
yuan liang 	原諒	c=2 d=4.20523e-45 t=63164
yuan ma 	源碼	c=3 d=1.67097e-40 t=63164
yuan shi 	原始	c=4 d=0.00346515 t=63164
yuan su 	元素	c=9 d=0.535653 t=63164
yuan su fu hao 	元素符號	c=1 d=0.687289 t=63164
yuan tong 	圓通	c=1 d=6.6866e-60 t=63164
yuan tou 	源頭	c=3 d=3.36264e-15 t=63164
yuan wang 	願望	c=1 d=1.9885e-28 t=63164
yuan wen 	原文	c=2 d=7.20761e-31 t=63164
yuan wu 	原物	c=1 d=0.113042 t=63164
yuan xiao jie 	元宵節	c=1 d=3.68044e-65 t=63164
yuan xing 	圓形	c=1 d=1.70948e-14 t=63164
yuan xing fa 	源興發	c=12 d=0.941765 t=63164
yuan xing fa ke ji you xian gong si 	源興發科技有限公司	c=1 d=5.37727e-55 t=63164
yuan yi 	願意	c=7 d=1.37521e-13 t=63164
yuan yin 	原因	c=5 d=0.0175097 t=63164
yuan yin 	援引	c=1 d=7.24374e-31 t=63164
yuan yuan 	淵源	c=0 d=1.61273e-06 t=63164
yuan yuan bu duan 	源源不斷	c=3 d=0.000395642 t=63164
yuan ze 	原則	c=9 d=0.00634556 t=63164
yuan ze shang 	原則上	c=2 d=6.28329e-34 t=63164
yuan zhe 	遠着	c=1 d=4.35502e-45 t=63164
yuan zhi yuan wei 	原汁原味	c=2 d=2.4059e-05 t=63164
yuan zhuang 	原裝	c=2 d=1.75578 t=62007
yuan zu 	元組	c=6 d=0.00152159 t=63164
yue 	悅	c=2 d=3.45139e-15 t=63164
yue 	曰	c=2 d=0.000352678 t=63164
yue 	月	c=59 d=1.0269 t=63164
yue 	約	c=17 d=1.05537e-14 t=63164
yue 	越	c=23 d=0.000430743 t=63164
yue bing 	月餅	c=4 d=2.17218e-34 t=63164
yue bu 	約不	c=1 d=1.0795e-47 t=63164
yue bu yue 	約不約	c=1 d=3.04584e-15 t=63164
yue chang 	越長	c=1 d=5.33119e-42 t=63164
yue chu lai 	約出來	c=1 d=2.75262e-30 t=63164
yue da 	越大	c=1 d=2.0154e-39 t=63164
yue dian ying 	約電影	c=1 d=4.54386e-15 t=63164
yue ding 	約定	c=8 d=6.01152e-12 t=63164
yue du 	閱讀	c=49 d=0.0265215 t=63164
yue du li jie 	閱讀理解	c=1 d=1.29781e-08 t=63164
yue du zhe 	閱讀者	c=1 d=0.00932553 t=63164
yue duo 	越多	c=1 d=1.98128e-44 t=63164
yue fang 	悅方	c=4 d=1.61524e-14 t=63164
yue fen 	月份	c=7 d=2.20985e-05 t=63164
yue gao 	越高	c=1 d=5.38477e-42 t=63164
yue hao 	約好	c=1 d=1.96665e-45 t=63164
yue hao 	越好	c=2 d=3.50713e-27 t=63164
yue jing 	月經	c=1 d=1.60468e-05 t=63164
yue kuai 	越快	c=1 d=5.81621e-37 t=63164
yue lai 	越來	c=1 d=8.89973e-12 t=63164
yue lai yue 	越來越	c=1 d=5.25182e-42 t=63164
yue lai yue cha 	越來越差	c=1 d=2.49449e-48 t=63164
yue lai yue duo 	越來越多	c=1 d=6.72834e-45 t=63164
yue lai yue gao 	越來越高	c=1 d=3.04325e-05 t=63164
yue lai yue kuai 	越來越快	c=1 d=1.45391e-50 t=63164
yue pao 	約泡	c=3 d=3.11594e-18 t=63164
yue pao 	約炮	c=2 d=1.81087e-16 t=63164
yue se fu 	約瑟夫	c=1 d=5.27724e-40 t=63164
yue shi 	越是	c=1 d=1.67245e-21 t=63164
yue xiang 	越想	c=1 d=8.12959e-06 t=63164
yue xiao shou 	月銷售	c=1 d=4.3333e-45 t=63164
yue xin 	月薪	c=2 d=9.39223e-61 t=63164
yue xue 	越學	c=2 d=6.98389e-13 t=63164
yue ye che 	越野車	c=1 d=2.00228e-21 t=63164
yue yi fa 	約一發	c=1 d=3.71173e-47 t=63164
yue yu 	粵語	c=9 d=3.92059e-05 t=63164
yue yu ge 	粵語個	c=1 d=3.34653e-05 t=63164
yun 	雲	c=5 d=0.000319102 t=63164
yun bi ji 	雲筆記	c=1 d=1 t=58046
yun cang 	蘊藏	c=1 d=2.58959e-47 t=63164
yun dong 	運動	c=1 d=1 t=63087
yun duan 	雲端	c=1 d=0.0330412 t=63164
yun fei 	運費	c=1 d=1.58834e-61 t=63164
yun fu 	孕婦	c=1 d=1.45317e-44 t=63164
yun suan 	運算	c=2 d=1.00051 t=60335
yun xing 	運行	c=24 d=0.49012 t=63164
yun xu 	允許	c=10 d=0.172907 t=63164
yun ying 	運營	c=6 d=7.36097e-14 t=63164
yun yong 	運用	c=3 d=0.24427 t=63164
yun zhuan 	運轉	c=1 d=6.67317e-07 t=63164
yun zuo 	運作	c=5 d=0.000389959 t=63164
za 	咋	c=2 d=1.2577e-21 t=63164
za 	砸	c=1 d=1 t=62120
za 	雜	c=1 d=1.56965e-10 t=63164
za ban 	咋辦	c=1 d=8.18147e-22 t=63164
za ha 	咋哈	c=1 d=1.08828e-54 t=63164
za hui shi 	咋回事	c=1 d=2.99214e-41 t=63164
za ji 	雜記	c=3 d=7.62211e-34 t=63164
za le 	咋了	c=2 d=1.72514e-33 t=63164
za nong 	咋弄	c=1 d=8.35501e-63 t=63164
za xiang 	雜項	c=1 d=5.15149e-21 t=63164
za yang 	咋樣	c=1 d=0.514274 t=63164
za zhi 	雜誌	c=1 d=5.46522e-40 t=63164
zai 	仔	c=1 d=0.224249 t=63164
zai 	再	c=79 d=1.35455 t=63164
zai 	在	c=401 d=2.26082 t=63164
zai bian 	在變	c=1 d=3.61836e-12 t=63164
zai bu 	在不	c=2 d=1.05215e-39 t=63164
zai bu zai 	在不在	c=1 d=1.64492e-61 t=63164
zai ci 	再辭	c=1 d=1.46348e-39 t=63164
zai ci yi ju 	在此一舉	c=1 d=2.63329e-38 t=63164
zai cuo 	崽措	c=1 d=0.390628 t=63164
zai die 	在跌	c=1 d=1.43949e-21 t=63164
zai gao 	再搞	c=1 d=1.93743e-16 t=63164
zai guo 	再過	c=2 d=8.60534e-28 t=63164
zai hui 	再回	c=1 d=1.523e-08 t=63164
zai kan 	再看	c=2 d=1.5078e-37 t=63164
zai lai 	再來	c=4 d=0.416862 t=63164
zai lai yi ci 	再來一次	c=1 d=1 t=61306
zai li mian 	在裏面	c=2 d=5.12868e-17 t=63164
zai ma 	在馬	c=2 d=0.154124 t=63164
zai mai 	再買	c=1 d=8.98095e-60 t=63164
zai na 	在哪	c=1 d=7.33946e-09 t=63164
zai na li 	在哪裏	c=1 d=2.91826e-41 t=63164
zai qu 	再去	c=4 d=0.150318 t=63164
zai shen zhen 	在深圳	c=2 d=4.69341e-43 t=63164
zai shuo 	再說	c=8 d=2.80297e-08 t=63164
zai suo bu wen 	在所不問	c=2 d=7.03564e-41 t=63164
zai wen 	再問	c=1 d=0.00108086 t=63164
zai xian 	再現	c=1 d=6.74117e-38 t=63164
zai xian 	在線	c=12 d=2.37707 t=63164
zai xian zhi fu 	在線支付	c=1 d=2.90263e-66 t=63164
zai xu qian yuan 	再續前緣	c=1 d=2.53702e-41 t=63164
zai ye 	再也	c=3 d=8.54786e-08 t=63164
zai yi 	在意	c=1 d=0.000792752 t=63164
zai yi ge 	在一個	c=1 d=1.95717e-47 t=63164
zai yi qi 	在一起	c=1 d=0.092089 t=63164
zai yu 	在於	c=9 d=0.17552 t=63164
zai zai 	再在	c=1 d=1 t=55665
zan 	攢	c=5 d=1.58953e-11 t=63164
zan 	暫	c=3 d=1.81488e-12 t=63164
zan 	讚	c=28 d=0.00472798 t=63164
zan dian 	攢點	c=2 d=9.15488e-21 t=63164
zan dian qian 	攢點錢	c=1 d=3.1553e-48 t=63164
zan ge 	暫擱	c=1 d=2.39586e-44 t=63164
zan gou 	攢夠	c=1 d=2.06572e-35 t=63164
zan men 	咱們	c=3 d=7.53552e-25 t=63164
zan qian 	攢錢	c=3 d=2.98858e-27 t=63164
zan shi 	暫時	c=20 d=0.532782 t=63164
zan ting 	暫停	c=4 d=4.28597e-09 t=63164
zan wei 	暫未	c=2 d=1 t=60366
zan wu 	暫無	c=1 d=5.22935e-21 t=63164
zan xing 	暫行	c=2 d=1.22907e-36 t=63164
zang huo 	髒活	c=1 d=1 t=57883
zao 	早	c=6 d=2.52616e-20 t=63164
zao 	造	c=3 d=5.33166e-16 t=63164
zao can 	早餐	c=3 d=0.000273646 t=63164
zao cheng 	造成	c=6 d=0.00657159 t=63164
zao dian 	早點	c=6 d=2.08643e-11 t=63164
zao dian xiu xi 	早點休息	c=1 d=1.44793e-31 t=63164
zao fan 	早飯	c=3 d=7.10025e-49 t=63164
zao fu 	造福	c=1 d=1.45341e-46 t=63164
zao hua 	造化	c=1 d=1.31015e-31 t=63164
zao nian 	早年	c=1 d=4.43379e-50 t=63164
zao nie 	造孽	c=2 d=6.00476e-30 t=63164
zao qi 	早起	c=1 d=1.73196e-50 t=63164
zao shang 	早上	c=4 d=6.84327e-09 t=63164
zao xing 	造型	c=1 d=3.26881e-52 t=63164
zao yang 	遭殃	c=1 d=2.60213e-45 t=63164
zao yi bu 	早一步	c=1 d=1.62158e-40 t=63164
zao yin 	噪音	c=3 d=3.50046e-34 t=63164
zao yu 	早於	c=1 d=4.83388e-37 t=63164
zao yu 	遭遇	c=2 d=1.8825 t=54724
ze 	則	c=49 d=0.283379 t=63164
ze 	嘖	c=1 d=3.42461e-41 t=63164
ze hui 	則會	c=0 d=3.43359e-14 t=63164
ze ne 	則呢	c=1 d=3.7363e-07 t=63164
ze ne ma 	則呢嗎	c=1 d=1 t=55180
ze ren 	責任	c=1 d=5.07347e-38 t=63164
ze shi 	則是	c=5 d=0.0227235 t=63164
ze ze 	嘖嘖	c=1 d=5.11518e-26 t=63164
zei gui 	賊鬼	c=1 d=1 t=61548
zen me 	怎麼	c=91 d=0.351692 t=63164
zen me ban 	怎麼辦	c=1 d=0.000262568 t=63164
zen me du 	怎麼讀	c=1 d=0.489192 t=63164
zen me hai shi 	怎麼還是	c=1 d=0.0126512 t=63164
zen me hui 	怎麼會	c=0 d=6.63064e-21 t=63164
zen me hui suo 	怎麼會所	c=1 d=6.66388e-20 t=63164
zen me jiang 	怎麼講	c=1 d=4.11859e-06 t=63164
zen me shuo 	怎麼說	c=1 d=3.40348e-27 t=63164
zen me yang 	怎麼樣	c=24 d=0.180677 t=63164
zen me yong 	怎麼用	c=2 d=1.00014 t=56965
zen me zhao 	怎麼着	c=1 d=3.96654e-34 t=63164
zen yang 	怎樣	c=1 d=9.10273e-42 t=63164
zeng 	增	c=0 d=8.15063e-08 t=63164
zeng 	曾	c=0 d=0.00381969 t=63164
zeng chi 	增持	c=3 d=8.37876e-21 t=63164
zeng gai shan cha 	增改刪查	c=1 d=1 t=60361
zeng jia 	增加	c=16 d=2.16987e-05 t=63164
zeng qiang 	增強	c=1 d=1.84351e-49 t=63164
zeng song 	贈送	c=2 d=7.41677e-44 t=63164
zeng xin ning 	曾薪凝	c=1 d=0.0383884 t=63164
zeng yu 	贈與	c=6 d=1.95012e-34 t=63164
zeng zhang 	增長	c=7 d=3.2757e-19 t=63164
zeng zhang lv 	增長率	c=2 d=1.96783e-29 t=63164
zeng zhi 	增值	c=2 d=1.95517e-35 t=63164
zha 	扎	c=0 d=5.30116e-06 t=63164
zha 	炸	c=6 d=1.24714e-17 t=63164
zha dui 	扎堆	c=1 d=8.07614e-46 t=63164
zha jiang 	炸醬	c=2 d=0.000197292 t=63164
zha jiang mian 	炸醬麪	c=5 d=0.000488504 t=63164
zha lie 	炸裂	c=1 d=2.05262e-19 t=63164
zhai 	債	c=6 d=2.42793e-33 t=63164
zhai 	宅	c=2 d=2.14447e-34 t=63164
zhai 	窄	c=1 d=1 t=61398
zhai ji di 	宅基地	c=1 d=8.59189e-39 t=63164
zhai quan 	債券	c=6 d=1.73321e-38 t=63164
